w_viirs,w_modis,w_landsat,p_85,r_85,f1_85,p_60,r_60,f1_60,p_40,r_40,f1_40
0.05,0.3,0.0,1.0,0.012295991532368206,0.024293273183380065,0.9999834795394096,0.1291697965036875,0.22878676491432307,0.9997046172023557,0.2311142788855504,0.37543461907782755
0.05,0.3,0.05,1.0,0.01941494810161158,0.03809037357705367,0.9999843867099675,0.13667500341436767,0.2404816617103722,0.9997163673751573,0.24069158016935263,0.3879744767211874
0.05,0.3,0.1,1.0,0.023706381453154877,0.04631480643796239,0.9999848727800805,0.1410667338158973,0.2472536720564638,0.9997192465278691,0.2431605947828462,0.3911759102074025
0.05,0.3,0.15,1.0,0.026798518164435948,0.05219820186796241,0.9999852241496499,0.14442135004097242,0.25239144784685785,0.9997218020273677,0.24539487161977602,0.394062032026921
0.05,0.3,0.2,1.0,0.029269666757716473,0.05687463199011454,0.9999854556032288,0.14671964627151052,0.25589406043959106,0.9997243660418964,0.24767822999180553,0.39700087565674264
0.05,0.3,0.25,1.0,0.03142285236274242,0.06093107650419069,0.9999856622602012,0.1488344202403715,0.25910460403377705,0.9997265004017025,0.2496116156787763,0.39948088318163966
0.05,0.3,0.3,1.0,0.033287950696531,0.06443112140055804,0.9999858681213081,0.15100254370390603,0.26238389231881637,0.9997278819007449,0.2508791996722207,0.4011026878015162
0.05,0.3,0.35,1.0,0.0349033733952472,0.06745242945868146,0.9999859845830413,0.1522573238186288,0.26427611036413945,0.9997297685298564,0.2526311970773013,0.4033388697244581
0.05,0.3,0.4,1.0,0.03641423108440317,0.07026964700456276,0.9999860857949882,0.15336485932805244,0.26594286158337915,0.9997312911460433,0.25406309751434036,0.40516185238626773
0.05,0.3,0.45,1.0,0.037997644086315216,0.07321335323407632,0.999986200805873,0.1546431132204316,0.2678625553526676,0.9997314354773734,0.2541996722207047,0.4053355110929631
0.05,0.3,0.5,1.0,0.03931217563507238,0.07565037061371989,0.9999863615285999,0.15646553195848129,0.2705921428966841,0.9997322377394171,0.25496150300464354,0.40630350763538553
0.05,0.3,0.55,1.0,0.04060536738596012,0.0780418180774184,0.9999863795475286,0.1566725279978148,0.27090163405144024,0.9997322489415466,0.25497217290357826,0.40631705666511364
0.05,0.3,0.6,1.0,0.04141414572521169,0.0795344405397375,0.99998652745032,0.15839251570609122,0.27346900427940085,0.9997336352134247,0.2562995083310571,0.4080007609419374
0.05,0.3,0.65,1.0,0.04233602499317127,0.0812329689812815,0.999986542317682,0.1585675020486206,0.27372977353729405,0.9997336596003229,0.25632298210871346,0.4080305050487894
0.05,0.35,0.0,1.0,0.026994844304834745,0.05257055467129897,0.9998993254807208,0.14836281070745697,0.25838677367743274,0.9996497495709432,0.24362366839661295,0.39176955862267765
0.05,0.35,0.05,1.0,0.03385345534007102,0.06548985287075414,0.9999038276591652,0.15530891491395793,0.26885780041891855,0.9996628171626064,0.2530686629336247,0.4038907563883809
0.05,0.35,0.1,1.0,0.037997644086315216,0.07321335323407632,0.9999064446285851,0.15965369776017482,0.2753436505161658,0.9996661018222494,0.2555590173449877,0.4070563642389171
0.05,0.35,0.15,1.0,0.040946804151871075,0.0786722318346194,0.999908328968046,0.16293575867249385,0.2802109481657638,0.9996690029541486,0.25779969612127834,0.40989388502939156
0.05,0.35,0.2,1.0,0.0433347275334608,0.08306965423437611,0.9999095805830761,0.16519137530729308,0.28354013094638525,0.999671848722261,0.26003610693799506,0.4127159387843923
